name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Diaz Acosta F.,0,0,0,0,0,0,0,0,0,0,0
Diez S.,70,113,203,202,109,113,350,161,124,411,358
Dimitrov G.,536,666,866,1520,3645,1360,2035,5150,1835,1747,2260
Djere L.,0,0,11,71,134,270,309,612,621,1171,1058
Djokovic M.,30,10,33,6,6,0,0,0,5,0,0
Djokovic N.,6240,13630,12920,12260,11360,16585,11780,2585,9045,9145,12030
Dodig I.,586,1065,695,1190,575,636,417,137,0,0,0
Dolgopolov A.,940,1925,1855,825,1455,1135,760,1231,165,0,0
Dolgopolov O.,0,0,0,0,0,0,0,0,0,0,0
Domingues J.,0,2,6,58,56,75,136,315,218,294,364
Donaldson J.,0,0,4,27,191,439,570,890,520,25,25
Donati M.,0,3,8,93,102,280,263,192,246,20,20
Donski A.,0,0,0,0,0,0,0,2,3,43,45
Donskoy E.,180,366,637,493,421,615,482,704,594,497,540
Draper J.,0,0,0,0,0,0,0,0,0,0,0
Dubrivnyy A.,0,0,0,0,0,11,5,16,55,89,89
Duckworth J.,19,171,230,425,430,485,577,10,216,576,701
Duclos P.L.,83,192,54,0,0,0,0,0,0,0,0
Dustov F.,148,181,209,235,460,349,73,0,8,0,0
Dutra Da Silva R.,336,471,452,432,175,473,613,571,330,200,81
Dutra Silva R.,0,0,0,0,0,0,0,0,0,0,0
Dzumhur D.,6,126,197,272,526,649,699,1391,985,594,562
Ebden M.,263,627,529,706,207,557,34,670,1001,195,141
Edmund K.,0,0,47,110,260,568,1001,992,2150,800,1085
Ehrat S.,17,34,121,133,17,65,11,0,49,117,108
El Amrani R.,227,43,0,24,0,0,36,27,0,0,0
El Aynaoui Y.,20,0,0,0,0,0,0,1,0,0,0
Eleskovic E.,98,68,11,1,11,0,0,0,0,0,0
Elgin M.,133,0,0,0,0,0,0,0,0,0,0
Elias G.,36,294,399,302,416,441,675,519,157,99,94
Emmrich M.,17,1,3,0,0,0,0,0,0,0,0
Eriksson M.,8,19,32,93,71,85,87,158,86,138,131
Erler A.,0,0,0,0,0,1,1,21,97,54,76
Escobar G.,0,0,0,31,152,129,73,97,75,128,87
Escobedo E.,0,0,1,32,60,111,443,498,272,218,329
Estrella Burgos V.,232,241,185,394,659,797,586,648,137,20,15
Etcheverry T.,0,0,0,0,0,0,1,9,82,115,212
Eubanks C.,0,0,0,0,0,0,42,132,322,215,247
Evans B.,112,0,0,0,0,0,0,0,0,0,0
Evans D.,114,125,153,346,162,274,736,420,265,1124,1589
Eysseric J.,144,158,153,139,201,202,215,73,0,28,40
Fabbiano T.,142,149,183,282,192,362,484,701,573,482,379
Falla A.,540,671,809,552,596,484,187,100,0,0,0
Fancutt T.,0,0,0,0,0,0,0,0,0,0,0
Farah R.,279,209,231,0,0,0,0,0,0,0,0
Federer R.,9145,8170,10265,4205,9775,8265,2130,9605,6420,6590,6630
Ferreira Silva F.,0,1,6,46,166,168,152,127,209,250,349
Ferrer D.,3735,4925,6505,5800,4045,4305,1785,1290,460,0,0
Ferrero J.C.,1415,910,225,0,0,0,0,0,0,0,0
Ficovich J.P.,0,0,0,0,38,4,51,109,83,200,304
Fidirko N.,19,4,35,8,1,0,0,0,0,0,0
Fischer M.,407,223,152,262,228,37,0,0,0,0,0
Fish M.,1991,2965,1255,110,0,100,0,0,0,0,0
Fleming C.,0,21,0,0,0,0,0,0,0,0,0
Fognini F.,855,915,880,1930,1790,1515,945,1670,2315,2290,2400
Forejtek J.,0,0,0,0,0,0,0,0,12,49,115
Fraile G.,0,9,12,0,0,0,0,0,0,0,0
Fratangelo B.,1,16,39,144,189,463,519,542,421,239,195
Fritz T.,0,0,0,0,7,290,701,556,974,1315,1670
Fucsovics M.,1,43,83,280,317,237,379,630,1122,790,1062
Gabashvili T.,615,383,275,651,730,863,448,220,101,158,192
Gaio F.,23,108,54,84,157,210,329,203,234,347,474
Galan D.,0,0,0,13,10,99,118,166,225,263,599
