player_id,name,hand,date_of_birth,country,height
200624,Korda S.,R,20000705,USA,196
105095,Korolev E.,R,19880214,KAZ,185
105930,Kosakowski D.,R,19920221,USA,177
200303,Kotov P.,R,19981118,RUS,177
102905,Koubek S.,L,19770102,AUT,175
106075,Kovalik J.,R,19921104,SVK,183
111578,Kozlov S.,R,19980201,USA,177
105572,Krajicek A.,L,19900616,USA,177
105936,Krajinovic F.,R,19920227,SRB,185
104505,Kravchuk K.,R,19850223,RUS,190
105906,Krawietz K.,R,19920124,GER,190
106353,Krstin P.,R,19940903,SRB,177
106283,Krueger M.,R,19940112,USA,177
106186,Kubler J.,R,19930519,AUS,177
103997,Kubot L.,R,19820516,POL,190
106045,Kudla D.,R,19920817,USA,180
104628,Kudryavtsev A.,R,19851026,RUS,183
200095,Kuhn N.,R,20000320,ESP,177
105062,Kukushkin M.,R,19871226,KAZ,183
104778,Kumantsov A.,R,19860804,RUS,177
103857,Kunitsyn I.,R,19810930,RUS,180
105004,Kutrovsky D.,R,19870827,BUL,177
106220,Kuzmanov D.,R,19930728,BUL,183
104864,Kuznetsov A.,R,19870205,USA,183
104864,Kuznetsov Al.,R,19870205,USA,183
104864,Kuznetsov An.,R,19870205,USA,183
111515,Kwiatkowski T.S.,R,19950213,USA,177
126952,Kwon S.W.,R,19971202,KOR,180
200516,Kypson P.,R,19991028,USA,177
106401,Kyrgios N.,R,19950427,AUS,193
105967,Laaksonen H.,R,19920331,SUI,185
105041,Lacko L.,R,19871103,SVK,185
105294,Lajola D.,R,19890212,USA,177
105583,Lajovic D.,R,19900630,SRB,180
106174,Lama G.,R,19930427,CHI,180
106137,Lamasine T.,R,19930305,FRA,177
103967,Lammer M.,R,19820325,SUI,185
105472,Langer N.,R,19900125,GER,177
104117,Lapentti G.,R,19830125,ECU,193
102839,Lapentti N.,R,19760813,ECU,188
200247,Lazarov A.,R,19971106,BUL,177
105586,Lazov A.,U,19900709,BUL,183
104783,Ledovskikh M.,R,19860808,RUS,188
105000,Lee D.H.,U,19870823,KOR,177
105084,Lemke J.,R,19880125,AUS,177
109699,Lenz J.,R,19930217,GER,177
122548,Leshem E.,U,19970319,ISR,177
106005,Lestienne C.,R,19920523,FRA,177
100964,Levine J.,R,19630929,USA,178
103248,Levy H.,R,19780805,ISR,185
104810,Li Z.,R,19860920,CHN,185
200368,Lin J.M.,R,19990415,CAN,177
105194,Lindahl N.,R,19880731,AUS,183
105872,Lindell C.,R,19911120,SWE,193
105426,Linzer M.,R,19891102,AUT,177
103444,Lisnard J.R.,R,19790925,MON,173
103344,Ljubicic I.,R,19790319,CRO,193
103566,Llodra M.,L,19800518,FRA,190
105116,Lojda D.,L,19880308,CZE,177
106362,Lokoli L.,R,19941018,FRA,177
106228,Londero J.I.,R,19930815,ARG,177
103852,Lopez F.,L,19810920,ESP,188
104043,Lopez M.,R,19820731,ESP,175
101752,Lopez Villasenor G.,R,19700529,ESP,177
105782,Lopez-Perez E.,R,19910603,ESP,177
103893,Lorenzi P.,R,19811215,ITA,183
104229,Lu Y.,R,19830814,TPE,180
104229,Lu Y.H.,R,19830814,TPE,180
103429,Luczak P.,R,19790831,AUS,183
