Winner,Loser,Odds
Bedene A.,Marterer M.,1.95:1.84
Cachin P.,Norrie C.,2.41:1.56
Pella G.,Lorenzi P.,1.27:3.74
Jaziri M.,Berlocq C.,2.9:1.4
Giannessi A.,Seyboth Wild T.,1.49:2.61
Carballes Baena R.,Martin A.,1.51:2.54
Londero J.I.,Jarry N.,2.38:1.57
Cuevas P.,Bagnis F.,1.61:2.3
Munar J.,Andreozzi G.,1.55:2.44
Ramos-Vinolas A.,Dellien H.,1.52:2.47
Delbonis F.,Mayer L.,1.85:1.94
Londero J.I.,Sonego L.,2.18:1.68
Cachin P.,Carreno Busta P.,3.7:1.28
Munar J.,Cecchinato M.,1.98:1.83
Delbonis F.,Carballes Baena R.,1.46:2.73
Cuevas P.,Jaziri M.,1.22:4.25
Bedene A.,Fognini F.,2.63:1.49
Schwartzman D.,Giannessi A.,1.08:7.99
Pella G.,Ramos-Vinolas A.,1.38:3.04
Delbonis F.,Munar J.,1.69:2.17
Londero J.I.,Cachin P.,1.72:2.13
Pella G.,Schwartzman D.,2.69:1.48
Cuevas P.,Bedene A.,1.72:2.09
Londero J.I.,Delbonis F.,3.52:1.31
Pella G.,Cuevas P.,1.75:2.1
Londero J.I.,Pella G.,2.96:1.4
Granollers M.,Karlovic I.,2.76:1.45
Tsonga J.W.,Humbert U.,1.3:3.48
Chardy J.,Menendez-Maceiras A.,1.34:3.08
Gulbis E.,Hurkacz H.,2.03:1.79
Hoang A.,Darcis S.,1.57:2.41
Krajinovic F.,Mahut N.,1.49:2.62
Berdych T.,Bachinger M.,1.15:5.41
Paire B.,Donskoy E.,1.33:3.32
Herbert P.H.,Kudla D.,1.4:2.93
Baghdatis M.,Bemelmans R.,1.47:2.69
Ivashka I.,Fabbiano T.,1.51:2.56
Albot R.,Kohlschreiber P.,3.12:1.36
Chardy J.,Hoang A.,1.49:2.62
Berdych T.,Paire B.,1.47:2.69
Tsonga J.W.,Simon G.,1.55:2.46
Krajinovic F.,Goffin D.,2.89:1.42
Shapovalov D.,Granollers M.,1.3:3.53
Albot R.,Gulbis E.,2.4:1.58
Herbert P.H.,Ivashka I.,1.26:3.82
Baghdatis M.,Pouille L.,2.73:1.46
Berdych T.,Krajinovic F.,1.37:3.1
Herbert P.H.,Shapovalov D.,2.23:1.66
Albot R.,Baghdatis M.,1.98:1.84
Tsonga J.W.,Chardy J.,1.46:2.77
Herbert P.H.,Berdych T.,2.44:1.57
