Winner,Loser,Odds
Tsitsipas S.,Sinner J.,1.42:2.87
Nadal R.,Carreno Busta P.,1.15:5.31
Nadal R.,Tsitsipas S.,1.53:2.49
Milojevic N.,Coria F.,1.67:2.2
Cecchinato M.,Troicki V.,1.25:3.89
Millman J.,Petrovic D.,1.42:2.86
Krajinovic F.,Travaglia S.,1.36:3.13
Rinderknech A.,Londero J.I.,1.47:2.68
Kwon S.W.,Carballes Baena R.,2.54:1.51
Delbonis F.,Berankis R.,1.42:2.84
Daniel T.,Sousa J.,2.69:1.53
Kecmanovic M.,Bagnis F.,1.79:2.02
Mager G.,Djere L.,3.54:1.29
Popyrin A.,Cerundolo F.,1.81:2.0
Bedene A.,Korda S.,2.32:1.61
Kecmanovic M.,Rinderknech A.,1.53:2.51
Djokovic N.,Kwon S.W.,1.01:17.91
Berrettini M.,Cecchinato M.,1.56:2.42
Krajinovic F.,Milojevic N.,1.35:3.2
Daniel T.,Millman J.,2.21:1.66
Delbonis F.,Lajovic D.,1.97:1.84
Mager G.,Popyrin A.,1.98:1.84
Karatsev A.,Bedene A.,1.44:2.79
Berrettini M.,Krajinovic F.,1.86:1.94
Djokovic N.,Kecmanovic M.,1.05:9.93
Daniel T.,Delbonis F.,2.74:1.45
Karatsev A.,Mager G.,1.44:2.76
Karatsev A.,Djokovic N.,5.73:1.14
Berrettini M.,Daniel T.,1.15:5.42
Berrettini M.,Karatsev A.,1.94:1.87
Davidovich Fokina A.,Andujar P.,1.36:3.09
Borges N.,Thompson J.,1.56:2.41
Chardy J.,Munar J.,2.52:1.52
Anderson K.,Tiafoe F.,3.06:1.37
Gasquet R.,Londero J.I.,1.46:2.69
Cecchinato M.,Harris L.,1.5:2.59
Martinez P.,Bublik A.,1.83:1.96
Norrie C.,Sousa J.,1.35:3.15
Herbert P.H.,Simon G.,1.58:2.37
Cilic M.,Alcaraz C.,2.42:1.56
Moutet C.,Giron M.,1.24:3.95
Ramos-Vinolas A.,Verdasco F.,1.19:4.71
Anderson K.,Carballes Baena R.,1.55:2.44
Cilic M.,Borges N.,1.49:2.62
Humbert U.,Cecchinato M.,2.41:1.56
Davidovich Fokina A.,Chardy J.,1.47:2.68
Norrie C.,Martinez P.,1.72:2.12
Garin C.,Gasquet R.,1.31:3.41
Moutet C.,Shapovalov D.,2.56:1.51
Ramos-Vinolas A.,Herbert P.H.,1.48:2.65
Norrie C.,Garin C.,2.8:1.43
Cilic M.,Anderson K.,1.77:2.04
Ramos-Vinolas A.,Moutet C.,1.59:2.35
Davidovich Fokina A.,Humbert U.,1.37:3.07
Norrie C.,Cilic M.,1.84:1.96
Ramos-Vinolas A.,Davidovich Fokina A.,2.3:1.62
Ramos-Vinolas A.,Norrie C.,1.57:2.4
Millman J.,Popyrin A.,2.18:1.68
Ivashka I.,Ruusuvuori E.,1.4:2.91
Pella G.,Gerasimov E.,1.48:2.63
Berankis R.,Marterer M.,2.14:1.71
Coria F.,Stebe C.M.,2.3:1.62
Cuevas P.,Sandgren T.,2.24:1.65
Mcdonald M.,Lajovic D.,2.43:1.55
Struff J.L.,Martin A.,1.34:3.22
Basilashvili N.,Monteiro T.,2.17:1.69
Koepfer D.,Kohlschreiber P.,1.51:2.57
Hanfmann Y.,Daniel T.,1.38:3.02
Galan D.E.,Korda S.,3.17:1.35
Millman J.,Pella G.,2.29:1.62
Ruud C.,Cuevas P.,1.17:5.05
Zverev A.,Berankis R.,1.09:7.42
Ivashka I.,Mcdonald M.,1.48:2.66
Krajinovic F.,Hanfmann Y.,1.46:2.71
Struff J.L.,Koepfer D.,1.59:2.34
Gombos N.,Coria F.,1.77:2.05
Basilashvili N.,Galan D.E.,1.76:2.06
Struff J.L.,Krajinovic F.,2.56:1.51
Ivashka I.,Zverev A.,3.78:1.26
Basilashvili N.,Gombos N.,1.54:2.45
Ruud C.,Millman J.,1.13:5.97
Struff J.L.,Ivashka I.,2.3:1.61
Basilashvili N.,Ruud C.,3.65:1.28
Basilashvili N.,Struff J.L.,1.68:2.19
Paul T.,Martinez P.,2.31:1.61
Shapovalov D.,Lajovic D.,1.49:2.63
Bublik A.,Fucsovics M.,2.41:1.56
De Minaur A.,Munar J.,1.9:1.89
Harris L.,Dimitrov G.,3.12:1.36
Isner J.,Kecmanovic M.,2.3:1.61
Karatsev A.,Humbert U.,1.31:3.42
Evans D.,Chardy J.,1.67:2.19
Koepfer D.,Opelka R.,1.72:2.11
Fognini F.,Taberner C.,1.54:2.44
Alcaraz C.,Mannarino A.,1.21:4.33
Giron M.,Andujar P.,2.73:1.45
Garin C.,Verdasco F.,1.16:5.17
Delbonis F.,Carreno Busta P.,3.61:1.29
Sinner J.,Pella G.,1.07:8.58
Millman J.,Hurkacz H.,2.79:1.44
Ruud C.,Auger-Aliassime F.,1.95:1.85
Nishikori K.,Khachanov K.,1.79:2.02
Davidovich Fokina A.,Herbert P.H.,1.58:2.37
Nishioka Y.,Krajinovic F.,3.63:1.31
Popyrin A.,Struff J.L.,2.11:1.72
Ramos-Vinolas A.,Fritz T.,2.09:1.74
Bautista Agut R.,Cecchinato M.,1.29:3.6
Paire B.,Basilashvili N.,4.12:1.23
Rublev A.,Paul T.,1.13:5.84
Bublik A.,Shapovalov D.,2.74:1.45
Berrettini M.,Fognini F.,1.31:3.4
Thiem D.,Giron M.,1.14:5.75
De Minaur A.,Harris L.,1.51:2.56
Garin C.,Koepfer D.,1.39:2.98
Karatsev A.,Schwartzman D.,1.63:2.27
Medvedev D.,Davidovich Fokina A.,1.61:2.31
Evans D.,Millman J.,1.39:2.98
Zverev A.,Nishikori K.,1.41:2.88
Delbonis F.,Ramos-Vinolas A.,1.61:2.31
Nadal R.,Alcaraz C.,1.06:9.17
Popyrin A.,Sinner J.,5.69:1.14
Isner J.,Bautista Agut R.,3.6:1.29
Tsitsipas S.,Paire B.,1.03:12.53
Ruud C.,Nishioka Y.,1.12:6.3
Bublik A.,Karatsev A.,3.61:1.29
Thiem D.,De Minaur A.,1.23:4.12
Garin C.,Medvedev D.,2.34:1.58
Nadal R.,Popyrin A.,1.03:12.88
Isner J.,Rublev A.,3.54:1.3
Ruud C.,Tsitsipas S.,4.27:1.22
Zverev A.,Evans D.,1.21:4.34
Berrettini M.,Delbonis F.,1.23:4.13
Thiem D.,Isner J.,1.24:4.01
Zverev A.,Nadal R.,4.36:1.21
Ruud C.,Bublik A.,1.3:3.54
Berrettini M.,Garin C.,1.52:2.51
Zverev A.,Thiem D.,1.71:2.14
Berrettini M.,Ruud C.,2.1:1.73
Zverev A.,Berrettini M.,1.62:2.31
Auger-Aliassime F.,Krajinovic F.,1.69:2.17
Carreno Busta P.,Djere L.,1.34:3.26
Opelka R.,Gasquet R.,2.14:1.7
Goffin D.,Caruso S.,1.41:2.9
Fritz T.,Evans D.,2.21:1.66
Fucsovics M.,Nishioka Y.,1.39:2.94
Travaglia S.,Paire B.,1.3:3.49
Karatsev A.,Kecmanovic M.,1.33:3.29
Nishikori K.,Fognini F.,1.67:2.2
Delbonis F.,Khachanov K.,2.05:1.76
Sinner J.,Humbert U.,1.16:5.24
Garin C.,Harris L.,1.24:4.06
Dellien H.,Mannarino A.,1.33:3.32
Mager G.,De Minaur A.,2.58:1.5
Struff J.L.,Bedene A.,1.51:2.54
Cilic M.,Bublik A.,1.74:2.09
Musetti L.,Hurkacz H.,1.59:2.35
Millman J.,Lajovic D.,2.15:1.7
Davidovich Fokina A.,Dimitrov G.,1.68:2.19
Bautista Agut R.,Paul T.,1.3:3.53
Norrie C.,Carballes Baena R.,1.38:2.99
Shapovalov D.,Majchrzak K.,1.36:3.13
Sonego L.,Monfils G.,1.23:4.13
Berrettini M.,Basilashvili N.,1.29:3.52
Opelka R.,Musetti L.,3.19:1.35
Nishikori K.,Carreno Busta P.,1.88:1.9
Djokovic N.,Fritz T.,1.11:6.62
Auger-Aliassime F.,Schwartzman D.,2.46:1.54
Thiem D.,Fucsovics M.,1.24:4.02
Bautista Agut R.,Garin C.,1.74:2.09
Davidovich Fokina A.,Norrie C.,1.56:2.43
Rublev A.,Struff J.L.,1.15:5.24
Sonego L.,Mager G.,1.69:2.16
Zverev A.,Dellien H.,1.06:9.34
Karatsev A.,Medvedev D.,1.83:1.96
Delbonis F.,Goffin D.,2.1:1.73
Tsitsipas S.,Cilic M.,1.08:7.51
Shapovalov D.,Travaglia S.,1.48:2.65
Berrettini M.,Millman J.,1.14:5.7
Nadal R.,Sinner J.,1.22:4.22
Opelka R.,Karatsev A.,3.74:1.27
Djokovic N.,Davidovich Fokina A.,1.16:5.11
Tsitsipas S.,Berrettini M.,1.37:3.05
Nadal R.,Shapovalov D.,1.06:8.73
Delbonis F.,Auger-Aliassime F.,2.39:1.57
Zverev A.,Nishikori K.,1.26:3.83
Sonego L.,Thiem D.,3.68:1.28
Rublev A.,Bautista Agut R.,1.54:2.46
Opelka R.,Delbonis F.,2.39:1.58
Nadal R.,Zverev A.,1.39:2.99
Djokovic N.,Tsitsipas S.,1.63:2.28
Sonego L.,Rublev A.,3.6:1.29
Nadal R.,Opelka R.,1.08:7.92
Djokovic N.,Sonego L.,1.15:5.48
Nadal R.,Djokovic N.,1.51:2.58
Cazaux A.,Mannarino A.,2.03:1.78
Sandgren T.,Caruso S.,2.37:1.58
Andujar P.,Thompson J.,1.39:2.96
Koepfer D.,Paire B.,1.42:2.85
Lopez F.,Altmaier D.,2.26:1.63
Cecchinato M.,Travaglia S.,1.75:2.07
Fucsovics M.,Laaksonen H.,1.22:4.25
Ivashka I.,Verdasco F.,1.15:5.29
Cuevas P.,Opelka R.,2.75:1.45
Stricker D.,Cilic M.,4.3:1.21
Djere L.,Monteiro T.,1.58:2.35
Fognini F.,Pella G.,1.46:2.69
Andujar P.,Federer R.,3.33:1.32
Ruud C.,Sandgren T.,1.14:5.58
Koepfer D.,Lopez F.,1.53:2.49
Stricker D.,Fucsovics M.,3.32:1.32
Dimitrov G.,Ivashka I.,1.99:1.81
Shapovalov D.,Cecchinato M.,1.43:2.8
Cuevas P.,Cazaux A.,1.5:2.55
Djere L.,Fognini F.,2.08:1.75
Andujar P.,Stricker D.,1.55:2.43
Ruud C.,Koepfer D.,1.17:4.95
Cuevas P.,Dimitrov G.,2.55:1.51
Shapovalov D.,Djere L.,1.57:2.41
Ruud C.,Andujar P.,1.2:4.5
Shapovalov D.,Cuevas P.,1.5:2.6
Ruud C.,Shapovalov D.,1.65:2.24
Bedene A.,Simon G.,1.61:2.3
Norrie C.,Moutet C.,1.73:2.09
Nishioka Y.,Humbert U.,2.7:1.45
Korda S.,Herbert P.H.,1.71:2.12
Musetti L.,Auger-Aliassime F.,2.5:1.52
Majchrzak K.,Sousa J.,1.52:2.52
Khachanov K.,Bonzi B.,1.34:3.2
Monfils G.,Seyboth Wild T.,1.48:2.67
Gasquet R.,Barrere G.,1.61:2.3
Paul T.,Tsonga J.W.,1.26:3.77
Sinner J.,Karatsev A.,1.65:2.23
Rinderknech A.,Ymer M.,1.99:1.81
Musetti L.,Korda S.,1.65:2.24
Bedene A.,Goffin D.,2.43:1.56
Khachanov K.,Majchrzak K.,1.46:2.69
Nishioka Y.,Monfils G.,2.73:1.45
Gasquet R.,Schwartzman D.,3.7:1.27
Tsitsipas S.,Paul T.,1.17:4.99
Norrie C.,Thiem D.,3.87:1.25
Rinderknech A.,Sinner J.,5.78:1.13
Musetti L.,Bedene A.,1.58:2.37
Tsitsipas S.,Nishioka Y.,1.03:12.07
Khachanov K.,Gasquet R.,1.55:2.46
Norrie C.,Rinderknech A.,1.52:2.51
Tsitsipas S.,Musetti L.,1.13:5.98
Norrie C.,Khachanov K.,1.86:1.93
Tsitsipas S.,Norrie C.,1.16:5.13
Chardy J.,Sandgren T.,1.63:2.26
Krstin P.,Kwon S.W.,5.74:1.14
Coria F.,Topo M.,1.12:6.36
Moraing M.,Gerasimov E.,2.58:1.5
Molcan A.,Medjedovic H.,1.31:3.37
Cuevas P.,Kecmanovic M.,2.19:1.67
Delbonis F.,Klein L.,1.29:3.58
Lajovic D.,Berankis R.,1.44:2.77
Verdasco F.,Pouille L.,2.09:1.73
Martin A.,O Connell C.,1.8:1.99
Monteiro T.,Albot R.,1.36:3.12
Carballes Baena R.,Rinderknech A.,1.67:2.16
Coria F.,Cuevas P.,3.51:1.3
Djokovic N.,Moraing M.,1.01:20.21
Molcan A.,Krstin P.,1.24:4.03
Verdasco F.,Mannarino A.,1.42:2.85
Delbonis F.,Monteiro T.,1.62:2.27
Martin A.,Basilashvili N.,2.75:1.44
Lajovic D.,Chardy J.,1.8:2.0
Carballes Baena R.,Monfils G.,1.84:1.96
Molcan A.,Verdasco F.,2.02:1.79
Djokovic N.,Coria F.,1.02:14.76
Martin A.,Lajovic D.,3.35:1.32
Delbonis F.,Carballes Baena R.,1.44:2.77
Djokovic N.,Martin A.,1.01:16.91
Molcan A.,Delbonis F.,2.51:1.52
Djokovic N.,Molcan A.,1.02:14.21
Paul T.,Travaglia S.,1.57:2.38
Cobolli F.,Giron M.,2.26:1.63
Cecchinato M.,Brancaccio R.,1.15:5.35
Korda S.,Seppi A.,1.15:5.35
Musetti L.,Mager G.,1.49:2.61
Gombos N.,Ruusuvuori E.,1.43:2.77
Nishioka Y.,Querrey S.,1.26:3.8
Gasquet R.,Altmaier D.,1.65:2.22
Vesely J.,Johnson S.,1.35:3.15
Martinez P.,Simon G.,1.3:3.46
Bedene A.,Caruso S.,1.39:2.99
Munar J.,Ymer M.,1.56:2.42
Struff J.L.,Cobolli F.,1.25:3.91
Gombos N.,Ramos-Vinolas A.,2.52:1.52
Gasquet R.,Martinez P.,2.22:1.65
Munar J.,Paire B.,1.37:3.04
Cecchinato M.,Bedene A.,1.81:1.99
Paul T.,Vesely J.,1.34:3.23
Nishioka Y.,Musetti L.,3.13:1.36
Korda S.,Sonego L.,2.58:1.5
Munar J.,Gasquet R.,1.63:2.25
Cecchinato M.,Gombos N.,1.41:2.89
Paul T.,Struff J.L.,1.92:1.88
Korda S.,Nishioka Y.,1.43:2.8
Cecchinato M.,Munar J.,1.75:2.08
Korda S.,Paul T.,1.64:2.25
Korda S.,Cecchinato M.,1.59:2.35
Fognini F.,Barrere G.,1.27:3.8
Carreno Busta P.,Gombos N.,1.13:6.09
Couacaud E.,Gerasimov E.,1.61:2.33
Laaksonen H.,Hanfmann Y.,2.21:1.68
Bautista Agut R.,Vilella Martinez M.,1.09:7.67
Pella G.,Galan D.E.,3.15:1.36
Kecmanovic M.,Evans D.,2.46:1.55
Andujar P.,Thiem D.,7.73:1.09
Khachanov K.,Vesely J.,1.23:4.17
Fucsovics M.,Simon G.,1.11:6.79
Nishikori K.,Giannessi A.,1.12:6.29
Garin C.,Londero J.I.,1.06:9.57
Mcdonald M.,Ruusuvuori E.,1.3:3.59
Giron M.,Dimitrov G.,4.52:1.21
Djere L.,Moutet C.,1.77:2.05
Zverev A.,Otte O.,1.03:12.73
Davidovich Fokina A.,Kukushkin M.,1.03:12.7
Safiullin R.,Taberner C.,3.79:1.27
Van De Zandschulp B.,Hurkacz H.,2.48:1.55
Tsitsipas S.,Chardy J.,1.01:16.8
Sinner J.,Herbert P.H.,1.12:6.3
Johnson S.,Tiafoe F.,5.04:1.17
Krajinovic F.,Marterer M.,1.48:2.66
Monteiro T.,Cerundolo F.,1.62:2.31
Mager G.,Gojowczyk P.,1.28:5.34
Isner J.,Querrey S.,1.25:3.95
Delbonis F.,Albot R.,1.17:5.13
Ruud C.,Paire B.,1.05:11.37
Norrie C.,Fratangelo B.,1.21:4.43
Paul T.,O Connell C.,1.25:3.96
Medvedev D.,Bublik A.,1.41:2.92
Munar J.,Thompson J.,1.1:7.24
Opelka R.,Martin A.,1.42:2.87
Basilashvili N.,Lajovic D.,1.68:2.2
Martinez P.,Korda S.,3.33:1.33
Alcaraz C.,Zapata Miralles B.,1.29:3.63
Majchrzak K.,Cazaux A.,1.57:2.41
Federer R.,Istomin D.,1.11:6.64
Harris L.,Sonego L.,5.8:1.14
Cilic M.,Rinderknech A.,1.73:2.12
Fritz T.,Sousa J.,1.14:5.89
Koepfer D.,Bourgue M.,1.24:4.08
Musetti L.,Goffin D.,1.71:2.16
Nishioka Y.,Tsonga J.W.,1.22:4.3
Cecchinato M.,Uchiyama Y.,1.05:11.27
Ymer M.,Carballes Baena R.,2.15:1.71
De Minaur A.,Travaglia S.,1.6:2.34
Berankis R.,Humbert U.,3.36:1.33
Karatsev A.,Brooksby J.,1.12:6.26
Bedene A.,Mannarino A.,1.27:3.79
Duckworth J.,Caruso S.,4.24:1.23
Struff J.L.,Rublev A.,7.14:1.1
Monfils G.,Ramos-Vinolas A.,2.21:1.67
Seppi A.,Auger-Aliassime F.,10.21:1.05
Bagnis F.,Bonzi B.,1.78:2.04
Kohlschreiber P.,Verdasco F.,1.7:2.16
Nadal R.,Popyrin A.,1.01:21.96
Coria F.,Lopez F.,1.6:2.35
Schwartzman D.,Lu Y.,1.01:21.2
Gasquet R.,Gaston H.,1.72:2.14
Berrettini M.,Daniel T.,1.06:10.64
Kwon S.W.,Anderson K.,2.91:1.41
Cuevas P.,Pouille L.,1.43:2.85
Djokovic N.,Sandgren T.,1.01:23.01
Delbonis F.,Andujar P.,1.73:2.13
Djere L.,Kecmanovic M.,1.69:2.18
Zverev A.,Safiullin R.,1.03:13.58
Ruud C.,Majchrzak K.,1.04:11.8
Laaksonen H.,Bautista Agut R.,8.93:1.07
Davidovich Fokina A.,Van De Zandschulp B.,1.18:4.93
Nishikori K.,Khachanov K.,1.95:1.87
Fognini F.,Fucsovics M.,1.78:2.06
Isner J.,Krajinovic F.,2.12:1.73
Opelka R.,Munar J.,1.77:2.08
Giron M.,Pella G.,2.66:1.48
Tsitsipas S.,Martinez P.,1.02:14.76
Garin C.,Mcdonald M.,1.25:3.94
Carreno Busta P.,Couacaud E.,1.04:12.11
Johnson S.,Monteiro T.,4.85:1.18
Medvedev D.,Paul T.,1.31:3.46
Kwon S.W.,Seppi A.,1.78:2.06
Berrettini M.,Coria F.,1.06:10.2
Kohlschreiber P.,Karatsev A.,7.05:1.1
Schwartzman D.,Bedene A.,1.32:3.4
Ymer M.,Monfils G.,2.97:1.4
Koepfer D.,Fritz T.,2.86:1.43
Musetti L.,Nishioka Y.,1.47:2.68
Sinner J.,Mager G.,1.14:5.8
Norrie C.,Harris L.,1.43:2.84
Berankis R.,Duckworth J.,1.45:2.76
Djokovic N.,Cuevas P.,1.01:18.38
Cecchinato M.,De Minaur A.,1.96:1.86
Federer R.,Cilic M.,1.43:2.84
Struff J.L.,Bagnis F.,1.47:2.72
Alcaraz C.,Basilashvili N.,1.68:2.21
Nadal R.,Gasquet R.,1.01:21.15
Davidovich Fokina A.,Ruud C.,3.79:1.27
Delbonis F.,Fognini F.,2.43:1.57
Nishikori K.,Laaksonen H.,1.32:3.39
Zverev A.,Djere L.,1.16:5.4
Garin C.,Giron M.,1.28:3.74
Carreno Busta P.,Johnson S.,1.11:6.94
Medvedev D.,Opelka R.,1.27:3.86
Tsitsipas S.,Isner J.,1.13:6.13
Musetti L.,Cecchinato M.,1.65:2.25
Schwartzman D.,Kohlschreiber P.,1.17:5.11
Struff J.L.,Alcaraz C.,2.42:1.57
Sinner J.,Ymer M.,1.13:6.16
Djokovic N.,Berankis R.,1.01:21.85
Nadal R.,Norrie C.,1.02:15.87
Berrettini M.,Kwon S.W.,1.07:9.06
Federer R.,Koepfer D.,1.31:3.52
Tsitsipas S.,Carreno Busta P.,1.14:5.79
Medvedev D.,Garin C.,1.36:3.18
Davidovich Fokina A.,Delbonis F.,1.74:2.11
Zverev A.,Nishikori K.,1.19:4.76
Berrettini M.,Federer R.,nan:nan
Schwartzman D.,Struff J.L.,1.45:2.77
Djokovic N.,Musetti L.,1.03:13.59
Nadal R.,Sinner J.,1.08:8.19
Zverev A.,Davidovich Fokina A.,1.12:6.37
Tsitsipas S.,Medvedev D.,1.41:2.94
Nadal R.,Schwartzman D.,1.05:10.82
Djokovic N.,Berrettini M.,1.17:5.2
Tsitsipas S.,Zverev A.,1.43:2.88
Djokovic N.,Nadal R.,2.95:1.41
Djokovic N.,Tsitsipas S.,1.38:3.11
Basilashvili N.,Brown D.,1.7:2.13
Cilic M.,Molleker R.,1.08:8.0
Humbert U.,Fucsovics M.,1.7:2.14
Harris L.,Simon G.,1.32:3.37
Querrey S.,Celikbilek A.,1.26:3.79
Thompson J.,Pella G.,1.56:2.41
Hanfmann Y.,Chardy J.,2.83:1.42
Stricker D.,Albot R.,2.0:1.81
Gojowczyk P.,Ivashka I.,1.39:3.03
Duckworth J.,Mannarino A.,2.66:1.47
Rodionov J.,Koepfer D.,4.45:1.2
Lopez F.,Popyrin A.,2.17:1.67
Querrey S.,Duckworth J.,1.48:2.62
Stricker D.,Hurkacz H.,2.71:1.45
Cilic M.,Basilashvili N.,1.35:3.19
Humbert U.,Hanfmann Y.,1.33:3.24
De Minaur A.,Thompson J.,1.33:3.32
Auger-Aliassime F.,Harris L.,1.59:2.35
Rodionov J.,Gojowczyk P.,3.21:1.34
Shapovalov D.,Lopez F.,1.66:2.2
Querrey S.,Stricker D.,1.59:2.35
Auger-Aliassime F.,Humbert U.,1.78:2.02
Cilic M.,Shapovalov D.,2.43:1.55
Rodionov J.,De Minaur A.,4.91:1.17
Auger-Aliassime F.,Querrey S.,1.46:2.7
Cilic M.,Rodionov J.,1.18:4.79
Cilic M.,Auger-Aliassime F.,1.77:2.05
Moutet C.,Goffin D.,3.04:1.37
Thompson J.,Altmaier D.,1.34:3.22
Giron M.,Pospisil V.,2.01:1.79
Federer R.,Ivashka I.,1.14:5.69
Korda S.,Bautista Agut R.,2.78:1.43
Harris L.,Monfils G.,1.6:2.33
Nishikori K.,Berankis R.,1.37:3.08
Lacko L.,Pella G.,1.89:1.9
Struff J.L.,Medvedev D.,3.96:1.24
Kohlschreiber P.,Rodionov J.,1.41:2.87
Basilashvili N.,Simon G.,1.58:2.37
Rublev A.,Khachanov K.,1.53:2.5
Auger-Aliassime F.,Hurkacz H.,1.55:2.45
Zverev A.,Koepfer D.,1.21:4.33
Humbert U.,Querrey S.,1.57:2.36
Rinderknech A.,Hanfmann Y.,1.77:2.05
Kohlschreiber P.,Moutet C.,1.47:2.66
Rublev A.,Thompson J.,1.22:4.25
Auger-Aliassime F.,Federer R.,2.65:1.47
Giron M.,Struff J.L.,3.12:1.35
Korda S.,Nishikori K.,1.74:2.09
Harris L.,Lacko L.,1.26:3.84
Humbert U.,Zverev A.,2.89:1.41
Basilashvili N.,Rinderknech A.,2.13:1.7
Rublev A.,Kohlschreiber P.,1.27:3.67
Basilashvili N.,Harris L.,2.27:1.63
Auger-Aliassime F.,Giron M.,1.26:3.82
Humbert U.,Korda S.,1.67:2.19
Rublev A.,Basilashvili N.,1.24:4.01
Humbert U.,Auger-Aliassime F.,2.32:1.61
Humbert U.,Rublev A.,2.92:1.4
Draper J.,Sinner J.,6.88:1.1
Millman J.,Opelka R.,3.11:1.36
Norrie C.,Ramos-Vinolas A.,1.31:3.41
Mannarino A.,Broady L.,1.59:2.33
Lopez F.,Marchenko I.,1.37:3.07
Troicki V.,Sonego L.,2.41:1.57
Karatsev A.,Tabilo A.,1.2:4.44
Berrettini M.,Travaglia S.,1.2:4.5
Bublik A.,Chardy J.,2.09:1.73
De Minaur A.,Djere L.,1.09:7.19
Evans D.,Popyrin A.,1.53:2.49
Tiafoe F.,Bedene A.,1.56:2.41
Murray A.,Paire B.,1.52:2.5
Fognini F.,Lu Y.,1.31:3.41
Shapovalov D.,Vukic A.,1.15:5.24
Cilic M.,Ofner S.,1.11:6.3
De Minaur A.,Millman J.,1.32:3.34
Norrie C.,Karatsev A.,2.07:1.74
Draper J.,Bublik A.,2.58:1.5
Cilic M.,Fognini F.,1.25:3.83
Evans D.,Mannarino A.,1.55:2.42
Berrettini M.,Murray A.,1.33:3.23
Shapovalov D.,Lopez F.,1.46:2.69
Tiafoe F.,Troicki V.,1.44:2.74
Berrettini M.,Evans D.,1.4:2.89
De Minaur A.,Cilic M.,1.96:1.84
Norrie C.,Draper J.,1.45:2.71
Shapovalov D.,Tiafoe F.,1.38:3.0
Berrettini M.,De Minaur A.,1.37:3.03
Norrie C.,Shapovalov D.,2.64:1.47
Berrettini M.,Norrie C.,1.28:3.65
Gerasimov E.,Tsonga J.W.,2.27:1.62
Popyrin A.,Gombos N.,1.34:3.19
Ivashka I.,Gray A.,1.07:8.4
Millman J.,Clarke J.,1.27:3.65
Bublik A.,Kukushkin M.,1.44:2.75
Purcell M.,Duckworth J.,3.14:1.35
Ruusuvuori E.,Ramos-Vinolas A.,1.57:2.38
Seppi A.,Nishioka Y.,1.53:2.47
Davidovich Fokina A.,Ymer M.,1.7:2.12
Fucsovics M.,Bedene A.,1.86:1.94
Pospisil V.,Ward J.,1.28:3.6
Broady L.,Tiafoe F.,3.8:1.26
Purcell M.,Monfils G.,2.92:1.4
Bublik A.,Gerasimov E.,1.41:2.88
Seppi A.,Ruusuvuori E.,2.16:1.68
Sonego L.,Millman J.,1.83:1.96
Ivashka I.,Popyrin A.,1.86:1.93
Pospisil V.,Davidovich Fokina A.,1.97:1.82
Kwon S.W.,Fucsovics M.,2.38:1.57
De Minaur A.,Broady L.,1.16:5.2
Sonego L.,Bublik A.,2.05:1.76
Purcell M.,Seppi A.,2.85:1.41
Kwon S.W.,Ivashka I.,2.4:1.57
De Minaur A.,Pospisil V.,1.44:2.75
Sonego L.,Purcell M.,1.22:4.28
De Minaur A.,Kwon S.W.,1.21:4.38
De Minaur A.,Sonego L.,1.42:2.86
Thompson J.,Andujar P.,1.22:4.2
Mannarino A.,Struff J.L.,2.33:1.59
Ruud C.,Simon G.,1.56:2.39
Moutet C.,Harris L.,2.52:1.51
Travaglia S.,Pella G.,1.6:2.32
Klein L.,Lajovic D.,1.9:1.89
Sandgren T.,Munar J.,1.6:2.32
Khachanov K.,Pouille L.,1.35:3.15
Vesely J.,Caruso S.,1.41:2.86
Lopez F.,Kuhn N.,1.24:3.98
Querrey S.,Carballes Baena R.,1.27:3.64
Humbert U.,Kecmanovic M.,1.55:2.41
Ruud C.,Sandgren T.,1.47:2.63
Medvedev D.,Moutet C.,1.16:5.09
Mannarino A.,Thiem D.,2.33:1.59
Lopez F.,Khachanov K.,2.34:1.58
Querrey S.,Humbert U.,2.21:1.66
Carreno Busta P.,Vesely J.,1.68:2.17
Thompson J.,Klein L.,1.46:2.67
Bautista Agut R.,Travaglia S.,1.25:3.85
Carreno Busta P.,Thompson J.,1.55:2.42
Medvedev D.,Ruud C.,1.2:4.49
Querrey S.,Bautista Agut R.,3.18:1.35
Mannarino A.,Lopez F.,2.06:1.75
Medvedev D.,Carreno Busta P.,1.19:4.55
Querrey S.,Mannarino A.,1.61:2.31
Medvedev D.,Querrey S.,1.25:3.89
Djokovic N.,Draper J.,1.01:24.52
Tiafoe F.,Tsitsipas S.,5.5:1.15
Kecmanovic M.,Bagnis F.,1.09:7.56
Anderson K.,Barrios M.,1.26:3.86
Kudla D.,Davidovich Fokina A.,1.96:1.84
Seppi A.,Sousa J.,1.45:2.75
Fucsovics M.,Sinner J.,2.77:1.45
Bautista Agut R.,Millman J.,1.19:4.79
Vesely J.,Hanfmann Y.,1.53:2.52
Rublev A.,Delbonis F.,1.03:13.45
Khachanov K.,Mcdonald M.,1.59:2.38
Koepfer D.,Opelka R.,2.33:1.61
Martinez P.,Travaglia S.,3.85:1.26
Murray A.,Basilashvili N.,1.96:1.85
Pospisil V.,Carballes Baena R.,1.25:3.98
Broady L.,Cecchinato M.,1.37:3.1
Korda S.,De Minaur A.,2.4:1.57
Evans D.,Lopez F.,1.42:2.86
Fognini F.,Ramos-Vinolas A.,1.35:3.2
Zverev A.,Griekspoor T.,1.05:10.6
