name,followers_2019,followers_2021
Struvay E.,1000.0,1000.0
Sugita Y.,1000.0,1000.0
Svajda Z.,1000.0,1000.0
Sweeny D.,1000.0,1000.0
Sweeting R.,1000.0,1000.0
Taberner C.,1000.0,1000.0
Tabilo A.,1000.0,1000.0
Takahashi Y.,1000.0,1000.0
Takeuchi K.,1000.0,1000.0
Tavares L.,1000.0,1000.0
Tearney F.,1000.0,1000.0
Teixeira M.,1000.0,1000.0
Tepavac M.,1000.0,1000.0
Thiem D.,1000.0,1000.0
Thompson C.,1000.0,1000.0
Thompson J.,1000.0,1000.0
Tiafoe F.,1000.0,1000.0
Tipsarevic J.,1000.0,1000.0
Tirante T.A.,1000.0,1000.0
Tiurnev E.,1000.0,1000.0
Tomic B.,1000.0,1000.0
Topic J.,1000.0,1000.0
Topo M.,1000.0,1000.0
Torebko P.,1000.0,1000.0
Torpegaard M.,1000.0,1000.0
Travaglia S.,1000.0,1000.0
Trevisan M.,1000.0,1000.0
Trinker B.,1000.0,1000.0
Troicki V.,1000.0,1000.0
Trongcharoenchaikul W.,1000.0,1000.0
