name,followers_2019,followers_2021,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Forejtek J.,1000,1001,0,0,0,0,0,0,0,0,12,49,115
Fraile G.,1000,1001,0,9,12,0,0,0,0,0,0,0,0
Fratangelo B.,1000,1001,1,16,39,144,189,463,519,542,421,239,195
Fritz T.,70988,147999,0,0,0,0,7,290,701,556,974,1315,1670
Fucsovics M.,22873,58512,1,43,83,280,317,237,379,630,1122,790,1062
Gabashvili T.,1000,1001,615,383,275,651,730,863,448,220,101,158,192
Gaio F.,1000,1001,23,108,54,84,157,210,329,203,234,347,474
Galan D.,1000,1001,0,0,0,13,10,99,118,166,225,263,599
Galan D.E.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Galdon P.,1000,1001,158,184,121,77,17,0,0,0,0,0,0
Galovic V.,1000,1001,3,6,89,57,56,58,52,279,222,189,177
Galvani S.,1000,1001,165,279,35,0,0,0,0,0,0,0,0
Gao X.,1000,1001,0,1,1,1,18,23,88,44,26,28,16
Garanganga T.,1000,1001,14,35,90,110,110,107,67,77,67,55,51
Garcia-Lopez G.,1000,1001,1275,755,667,768,1040,1430,725,714,543,370,258
Garin C.,36636,168206,0,0,11,103,195,149,251,158,648,1297,2170
Garza D.,1000,1001,75,125,97,36,63,48,1,0,0,0,0
Gasquet R.,137522,140338,1385,1765,2515,3300,1350,2850,1885,1375,1535,890,1145
Gaston H.,1000,1001,0,0,0,0,0,0,2,3,5,185,390
Gaudio G.,1000,1001,132,0,0,0,0,0,0,0,0,0,0
Gensse A.,1000,1001,253,349,172,1,0,0,0,0,0,0,0
Gerasimov E.,1000,1001,2,4,63,184,187,264,164,379,332,581,834
Ghedin R.,1000,1001,162,128,177,80,37,86,13,10,1,0,0
Ghem A.,1000,1001,55,167,142,218,313,389,243,51,0,0,0
Giannessi A.,1000,1001,63,395,184,163,118,205,475,353,330,361,386
Gicquel M.,1000,1001,368,364,368,469,132,0,0,0,0,0,0
Gigounon G.,1000,1001,17,77,90,196,166,203,182,19,120,0,0
Gil F.,1000,1001,551,561,407,19,44,32,97,65,135,67,66
Gimeno-Traver D.,1000,1001,844,547,704,650,510,590,518,116,307,84,84
Ginepri R.,1000,1001,379,140,161,222,219,12,0,0,0,0,0
Giraldo S.,1000,1001,785,890,778,703,1175,716,632,230,178,151,140
Giron M.,1000,1001,4,2,2,54,113,84,54,168,119,574,869
Giustino L.,1000,1001,8,20,61,203,120,206,249,198,274,347,426
Goffin D.,24489,287210,210,287,868,510,1599,1880,2750,3775,1785,2335,2555
Gojo B.,1000,1001,0,0,0,0,0,0,31,35,78,149,257
Gojowczyk P.,2502,6208,64,192,285,321,641,254,301,817,855,473,454
Golding O.,1000,1001,4,32,77,98,55,0,0,30,0,0,0
Golubev A.,1000,1001,1135,356,342,620,691,241,230,48,0,23,23
Gombos N.,1000,1001,39,73,124,257,443,431,441,423,189,507,789
Gomez A.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Gomez E.,1000,1001,24,4,39,144,148,151,167,66,119,364,395
Gomez L.,1000,1001,0,1,1,4,24,64,58,19,33,10,10
Gomez-Herrera C.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Gong M.X.,1000,1001,126,98,106,27,32,10,0,0,0,5,5
Gonzalez A.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
