Location,Surface,Year,Tournament
Miami,Hard,2016,Sony Ericsson Open
Houston,Clay,2016,U.S. Men's Clay Court Championships
Marrakech,Clay,2016,Grand Prix Hassan II
Monte Carlo,Clay,2016,Monte Carlo Masters
Barcelona,Clay,2016,Open Banco Sabadell
Bucharest,Clay,2016,BRD Nastase Tiriac Trophy
Estoril,Clay,2016,Millenium Estoril Open
Istanbul,Clay,2016,Istanbul Open
Munich,Clay,2016,BMW Open
Madrid,Clay,2016,Mutua Madrid Open
Rome,Clay,2016,Internazionali BNL d'Italia
Geneva,Clay,2016,Geneva Open
Nice,Clay,2016,Open de Nice Côte d’Azur
Paris,Clay,2016,French Open
's-Hertogenbosch,Grass,2016,Topshelf Open
Stuttgart,Grass,2016,Mercedes Cup
Halle,Grass,2016,Gerry Weber Open
Queens Club,Grass,2016,AEGON Championships
Nottingham,Grass,2016,AEGON Open
London,Grass,2016,Wimbledon
Bastad,Clay,2016,SkiStar Swedish Open
Hamburg,Clay,2016,German Tennis Championships
Newport,Grass,2016,Hall of Fame Championships
Gstaad,Clay,2016,Suisse Open Gstaad
Kitzbuhel,Clay,2016,Generali Open
Umag,Clay,2016,Konzum Croatia Open
Washington,Hard,2016,Citi Open
Toronto,Hard,2016,Rogers Masters
Atlanta,Hard,2016,BB&T Atlanta Open
Los Cabos,Hard,2016,Abierto Mexicano Mifel
Cincinnati,Hard,2016,Western & Southern Financial Group Masters
Winston-Salem,Hard,2016,Winston-Salem Open at Wake Forest University
New York,Hard,2016,US Open
Metz,Hard,2016,Open de Moselle
St. Petersburg,Hard,2016,St. Petersburg Open
Chengdu,Hard,2016,Chengdu Open
Shenzhen ,Hard,2016,Shenzhen Open
Beijing,Hard,2016,China Open
Tokyo,Hard,2016,Rakuten Japan Open Tennis Championships
Shanghai,Hard,2016,Shanghai Masters
Antwerp,Hard,2016,European Open
Moscow,Hard,2016,Kremlin Cup
Stockholm,Hard,2016,Stockholm Open
Basel,Hard,2016,Swiss Indoors
Vienna,Hard,2016,Erste Bank Open
Paris,Hard,2016,BNP Paribas Masters
London,Hard,2016,Masters Cup
Brisbane,Hard,2017,Brisbane International
Chennai,Hard,2017,Chennai Open
Doha,Hard,2017,Qatar Exxon Mobil Open
Auckland,Hard,2017,ASB Classic
Sydney,Hard,2017,Apia International
Melbourne,Hard,2017,Australian Open
Montpellier,Hard,2017,Open Sud de France
Quito,Clay,2017,Ecuador Open
Sofia,Hard,2017,Garanti Koza Sofia Open
Buenos Aires,Clay,2017,Argentina Open
Memphis,Hard,2017,Memphis Open
Rotterdam,Hard,2017,ABN AMRO World Tennis Tournament
Delray Beach,Hard,2017,Delray Beach Open
Marseille,Hard,2017,Open 13
Rio de Janeiro,Clay,2017,Rio Open
Acapulco,Hard,2017,Abierto Mexicano
Dubai ,Hard,2017,Dubai Tennis Championships
Sao Paulo,Clay,2017,Brasil Open
Indian Wells,Hard,2017,BNP Paribas Open
Miami,Hard,2017,Sony Ericsson Open
Houston,Clay,2017,U.S. Men's Clay Court Championships
Marrakech,Clay,2017,Grand Prix Hassan II
Monte Carlo,Clay,2017,Monte Carlo Masters
Barcelona,Clay,2017,Open Banco Sabadell 
Budapest,Clay,2017,Gazprom Hungarian Open
Estoril,Clay,2017,Millenium Estoril Open
Istanbul,Clay,2017,Istanbul Open
Munich,Clay,2017,BMW Open
Madrid,Clay,2017,Mutua Madrid Open
Rome,Clay,2017,Internazionali BNL d'Italia
Geneva,Clay,2017,Geneva Open
Lyon,Clay,2017,Lyon Open
Paris,Clay,2017,French Open
's-Hertogenbosch,Grass,2017,Ricoh Open
Stuttgart,Grass,2017,Mercedes Cup
Halle,Grass,2017,Gerry Weber Open
Queens Club,Grass,2017,AEGON Championships
Antalya,Grass,2017,Antalya Open
Eastbourne,Grass,2017,AEGON International
London,Grass,2017,Wimbledon
Bastad,Clay,2017,SkiStar Swedish Open
Newport,Grass,2017,Hall of Fame Championships
Umag,Clay,2017,Croatia Open
Atlanta,Hard,2017,BB&T Atlanta Open
Gstaad,Clay,2017,Suisse Open Gstaad
Hamburg,Clay,2017,German Tennis Championships
Kitzbuhel,Clay,2017,Generali Open
Los Cabos,Hard,2017,Abierto Mexicano Mifel
Washington,Hard,2017,Citi Open
Montreal,Hard,2017,Rogers Masters
Cincinnati,Hard,2017,Western & Southern Financial Group Masters
Winston-Salem,Hard,2017,Winston-Salem Open at Wake Forest University
New York,Hard,2017,US Open
Metz,Hard,2017,Open de Moselle
St. Petersburg,Hard,2017,St. Petersburg Open
Chengdu,Hard,2017,Chengdu Open
Shenzhen ,Hard,2017,Shenzhen Open
Beijing,Hard,2017,China Open
Tokyo,Hard,2017,Rakuten Japan Open Tennis Championships
Shanghai,Hard,2017,Shanghai Masters
Antwerp,Hard,2017,European Open
Moscow,Hard,2017,Kremlin Cup
Stockholm,Hard,2017,Stockholm Open
Basel,Hard,2017,Swiss Indoors
Vienna,Hard,2017,Erste Bank Open
Paris,Hard,2017,BNP Paribas Masters
London,Hard,2017,Masters Cup
Brisbane,Hard,2018,Brisbane International
Doha,Hard,2018,Qatar Exxon Mobil Open
Pune,Hard,2018,Tata Open
Auckland,Hard,2018,ASB Classic
Sydney,Hard,2018,Sydney International
Melbourne,Hard,2018,Australian Open
Montpellier,Hard,2018,Open Sud de France
Quito,Clay,2018,Ecuador Open
Sofia,Hard,2018,Garanti Koza Sofia Open
Buenos Aires,Clay,2018,Argentina Open
New York,Hard,2018,New York Open
Rotterdam,Hard,2018,ABN AMRO World Tennis Tournament
Delray Beach,Hard,2018,Delray Beach Open
Marseille,Hard,2018,Open 13
Rio de Janeiro,Clay,2018,Rio Open
Acapulco,Hard,2018,Abierto Mexicano
Dubai ,Hard,2018,Dubai Tennis Championships
Sao Paulo,Clay,2018,Brasil Open
Indian Wells,Hard,2018,BNP Paribas Open
Miami,Hard,2018,Sony Ericsson Open
Houston,Clay,2018,U.S. Men's Clay Court Championships
Marrakech,Clay,2018,Grand Prix Hassan II
Monte Carlo,Clay,2018,Monte Carlo Masters
Barcelona,Clay,2018,Open Banco Sabadell 
Budapest,Clay,2018,Gazprom Hungarian Open
Estoril,Clay,2018,Millennium Estoril Open
Istanbul,Clay,2018,Istanbul Open
Munich,Clay,2018,BMW Open
Madrid,Clay,2018,Mutua Madrid Open
Rome,Clay,2018,Internazionali BNL d'Italia
Geneva,Clay,2018,Geneva Open
Lyon,Clay,2018,Lyon Open
Paris,Clay,2018,French Open
's-Hertogenbosch,Grass,2018,Ricoh Open
Stuttgart,Grass,2018,Mercedes Cup
Halle,Grass,2018,Gerry Weber Open
Queens Club,Grass,2018,AEGON Championships
Antalya,Grass,2018,Antalya Open
Eastbourne,Grass,2018,Eastbourne International
London,Grass,2018,Wimbledon
Bastad,Clay,2018,SkiStar Swedish Open
Newport,Grass,2018,Hall of Fame Championships
Umag,Clay,2018,Croatia Open
Atlanta,Hard,2018,BB&T Atlanta Open
Gstaad,Clay,2018,Suisse Open Gstaad
Hamburg,Clay,2018,German Tennis Championships
Kitzbuhel,Clay,2018,Generali Open
Los Cabos,Hard,2018,Abierto Mexicano Mifel
Washington,Hard,2018,Citi Open
Toronto,Hard,2018,Rogers Masters
Cincinnati,Hard,2018,Western & Southern Financial Group Masters
Winston-Salem,Hard,2018,Winston-Salem Open at Wake Forest University
New York,Hard,2018,US Open
Metz,Hard,2018,Open de Moselle
St. Petersburg,Hard,2018,St. Petersburg Open
Chengdu,Hard,2018,Chengdu Open
Shenzhen ,Hard,2018,Shenzhen Open
Beijing,Hard,2018,China Open
Tokyo,Hard,2018,Rakuten Japan Open Tennis Championships
Shanghai,Hard,2018,Shanghai Masters
Antwerp,Hard,2018,European Open
Moscow,Hard,2018,Kremlin Cup
Stockholm,Hard,2018,Stockholm Open
Basel,Hard,2018,Swiss Indoors
Vienna,Hard,2018,Erste Bank Open
Paris,Hard,2018,BNP Paribas Masters
London,Hard,2018,Masters Cup
Brisbane,Hard,2019,Brisbane International
Doha,Hard,2019,Qatar Exxon Mobil Open
Pune,Hard,2018,Maharashtra Open
Pune,Hard,2019,Maharashtra Open
Auckland,Hard,2019,ASB Classic
Sydney,Hard,2019,Sydney International
Melbourne,Hard,2019,Australian Open
Cordoba,Clay,2019,Cordoba Open
Montpellier,Hard,2019,Open Sud de France
Sofia,Hard,2019,Sofia Open
Buenos Aires,Clay,2019,Argentina Open
New York,Hard,2019,New York Open
Rotterdam,Hard,2019,ABN AMRO World Tennis Tournament
Delray Beach,Hard,2019,Delray Beach Open
Marseille,Hard,2019,Open 13
Rio de Janeiro,Clay,2019,Rio Open
Acapulco,Hard,2019,Abierto Mexicano
Dubai ,Hard,2019,Dubai Tennis Championships
Sao Paulo,Clay,2019,Brasil Open
Indian Wells,Hard,2019,BNP Paribas Open
Miami,Hard,2019,Sony Ericsson Open
Houston,Clay,2019,U.S. Men's Clay Court Championships
Marrakech,Clay,2019,Grand Prix Hassan II
Monte Carlo,Clay,2019,Monte Carlo Masters
Barcelona,Clay,2019,Open Banco Sabadell 
Budapest,Clay,2019,Hungarian Open
Estoril,Clay,2019,Millennium Estoril Open
Munich,Clay,2019,BMW Open
Madrid,Clay,2019,Mutua Madrid Open
Rome,Clay,2019,Internazionali BNL d'Italia
Geneva,Clay,2019,Geneva Open
Lyon,Clay,2019,Lyon Open
Paris,Clay,2019,French Open
's-Hertogenbosch,Grass,2019,Rosmalen Grass Court Championships
