Tournament,Data,Winner,Loser,AvgW,AvgL,Round,Wsets,Lsets,Year
Australian Open,1/15/2019,Shapovalov D.,Andujar P.,1.11,6.89,1st Round,3.0,0.0,2019
Australian Open,1/15/2019,Daniel T.,Kokkinakis T.,3.8,1.28,1st Round,0.0,1.0,2019
Australian Open,1/15/2019,Pouille L.,Kukushkin M.,1.6,2.37,1st Round,3.0,0.0,2019
Australian Open,1/15/2019,Copil M.,Granollers M.,1.62,2.33,1st Round,3.0,0.0,2019
Australian Open,1/15/2019,Kohlschreiber P.,Li Z.,1.04,11.78,1st Round,3.0,0.0,2019
Australian Open,1/15/2019,Tsonga J.W.,Klizan M.,1.3,3.64,1st Round,3.0,0.0,2019
Australian Open,1/15/2019,Chardy J.,Humbert U.,1.59,2.39,1st Round,3.0,2.0,2019
Australian Open,1/15/2019,Krajinovic F.,Cecchinato M.,1.64,2.29,1st Round,3.0,2.0,2019
Australian Open,1/15/2019,Popyrin A.,Zverev M.,1.44,2.82,1st Round,3.0,0.0,2019
Australian Open,1/15/2019,Wawrinka S.,Gulbis E.,1.25,4.1,1st Round,0.0,1.0,2019
Australian Open,1/15/2019,Marterer M.,Sakharov G.,1.31,3.53,1st Round,3.0,0.0,2019
Australian Open,1/15/2019,Djokovic N.,Krueger M.,1.01,21.57,1st Round,3.0,0.0,2019
Australian Open,1/15/2019,Raonic M.,Kyrgios N.,1.77,2.07,1st Round,3.0,0.0,2019
Australian Open,1/15/2019,Thiem D.,Paire B.,1.29,3.68,1st Round,3.0,2.0,2019
Australian Open,1/16/2019,Schwartzman D.,Kudla D.,1.19,4.84,2nd Round,3.0,2.0,2019
Australian Open,1/16/2019,Basilashvili N.,Travaglia S.,1.29,3.69,2nd Round,3.0,2.0,2019
Australian Open,1/16/2019,Tsitsipas S.,Troicki V.,1.12,6.45,2nd Round,3.0,1.0,2019
Australian Open,1/16/2019,Seppi A.,Thompson J.,1.69,2.19,2nd Round,3.0,0.0,2019
Australian Open,1/16/2019,Berdych T.,Haase R.,1.11,6.68,2nd Round,3.0,0.0,2019
Australian Open,1/16/2019,Cilic M.,Mcdonald M.,1.1,7.45,2nd Round,3.0,1.0,2019
Australian Open,1/16/2019,Tiafoe F.,Anderson K.,4.98,1.18,2nd Round,3.0,1.0,2019
Australian Open,1/16/2019,Verdasco F.,Albot R.,1.22,4.41,2nd Round,3.0,0.0,2019
Australian Open,1/16/2019,Federer R.,Evans D.,1.02,15.48,2nd Round,3.0,0.0,2019
Australian Open,1/16/2019,Fritz T.,Monfils G.,2.37,1.6,2nd Round,3.0,1.0,2019
