nome,mao_dominante,data_de_nascimento,local,altura
Isner J.,R,19850426,USA,206
Zeballos H.,L,19850427,ARG,188
Baker B.,R,19850430,USA,190
Hocevar R.,R,19850505,BRA,180
Gabashvili T.,R,19850523,RUS,188
Vanni L.,R,19850604,ITA,180
Baghdatis M.,R,19850617,CYP,183
Jouan R.,R,19850716,FRA,183
Rosol L.,R,19850724,CZE,196
Guccione C.,L,19850730,AUS,201
Bozoljac I.,R,19850802,SRB,193
Traver D.,R,19850807,ESP,185
Matosevic M.,R,19850808,AUS,194
Almagro N.,R,19850821,ESP,183
Berdych T.,R,19850917,CZE,196
Galung J.,R,19851006,NED,188
Bolelli S.,R,19851008,ITA,183
Westerhof B.,R,19851024,NED,180
Kudryavtsev A.,R,19851026,RUS,183
Maceiras A.,R,19851028,ESP,180
Rodrigues M.,R,19851107,FRA,180
Odesnik W.,L,19851121,USA,180
Galdon P.,R,19851128,ARG,180
Ghedin R.,R,19851205,ITA,188
Alund M.,R,19851226,ARG,180
Paul T.,L,19851226,USA,180
Cuevas P.,R,19860101,URU,180
Stakhovsky S.,R,19860106,UKR,193
Duclos P.,R,19860108,CAN,180
Andujar P.,R,19860123,ESP,180
Oswald P.,R,19860123,AUT,201
Millot V.,L,19860130,FRA,173
Beck A.,L,19860205,GER,190
Sitak A.,R,19860208,NZL,185
Troicki V.,R,19860210,SRB,193
Rieschick S.,R,19860215,GER,180
Slabinsky A.,R,19860306,GBR,185
Inglot D.,R,19860306,GBR,196
Wolmarans F.,R,19860307,RSA,180
Jones G.,R,19860401,NZL,183
Reister J.,R,19860402,GER,188
Evans B.,R,19860408,USA,188
Granollers M.,R,19860412,ESP,190
Ouanna J.,R,19860414,FRA,193
Schwank E.,R,19860423,ARG,183
Nedelko I.,R,19860512,RUS,180
Anderson K.,R,19860518,RSA,203
Simmonds P.,R,19860518,USA,180
Kamke T.,R,19860521,GER,180
Dustov F.,R,19860522,UZB,196
Zampieri C.,R,19860527,BRA,183
Alcaide G.,R,19860527,ESP,188
Nadal R.,L,19860603,ESP,185
Gasquet R.,R,19860618,FRA,185
Fischer M.,R,19860721,AUT,180
Kumantsov A.,R,19860804,RUS,180
Baker J.,R,19860805,GBR,183
Ledovskikh M.,R,19860808,RUS,188
Sabry S.,U,19860829,EGY,180
Monfils G.,R,19860901,FRA,193
Istomin D.,R,19860907,UZB,188
Martin F.,R,19860911,FRA,180
Rachidi Y.,R,19860913,MAR,180
Weintraub A.,R,19860916,ISR,188
Ziadi M.,R,19860920,MAR,180
Li Z.,R,19860920,CHN,185
Zemlja G.,R,19860929,SLO,183
Chvojka E.,L,19861026,CAN,180
Idmbarek Y.,U,19861207,MAR,180
Bossel A.,L,19861228,SUI,180
Veigy J.,L,19870105,FRA,180
Naso G.,R,19870106,ITA,180
Farah R.,R,19870120,COL,193
Kuznetsov A.,R,19870205,USA,183
Bubka S.,R,19870210,UKR,188
Chardy J.,R,19870212,FRA,188
Nedovyesov A.,R,19870215,KAZ,193
Kavcic B.,R,19870305,SLO,188
Authom M.,R,19870329,BEL,180
Bachinger M.,R,19870402,GER,188
Haase R.,R,19870406,NED,190
Barrientos N.,R,19870424,COL,175
Statham J.,R,19870425,NZL,183
Eleskovic E.,R,19870508,SWE,180
Murray A.,R,19870515,GBR,190
Mayer L.,R,19870515,ARG,188
Djokovic N.,R,19870522,SRB,188
